site,x,y,z
V0351,553269.9091909033,3332440.371034871,596.3252563476562
V0352,581739.9091909033,3332440.371034871,603.2357788085938
V0353,548619.9091909033,3332380.371034871,560.65283203125
V0354,641799.9091909033,3332350.371034871,571.6774291992188
V0355,643179.9091909033,3332350.371034871,500.9601135253906
V0356,654309.9091909033,3332350.371034871,557.9976196289062
V0357,635679.9091909033,3332320.371034871,728.8881225585938
V0358,663159.9091909033,3332320.371034871,417.794921875
V0359,676809.9091909033,3332320.371034871,1353.73095703125
V0360,543609.9091909033,3332290.371034871,376.2292785644531
V0361,568209.9091909033,3332260.371034871,558.3654174804688
V0362,555729.9091909033,3332230.371034871,513.92431640625
V0363,646749.9091909033,3332200.371034871,480.1918029785156
V0364,660729.9091909033,3332200.371034871,572.867919921875
V0365,606699.9091909033,3332170.371034871,1032.95556640625
V0366,618579.9091909033,3332170.371034871,592.9183959960938
V0367,590799.9091909033,3332140.371034871,443.412841796875
V0368,609219.9091909033,3332140.371034871,1532.0909423828125
V0369,603369.9091909033,3332020.371034871,689.64990234375
V0370,624099.9091909033,3332020.371034871,888.4613037109375
V0371,628389.9091909033,3332020.371034871,997.0634765625
V0372,674109.9091909033,3332020.371034871,1109.6995849609375
V0373,558699.9091909033,3331990.371034871,514.6897583007812
V0374,585969.9091909033,3331990.371034871,351.67034912109375
V0375,625959.9091909033,3331990.371034871,1011.2691650390625
V0376,656529.9091909033,3331990.371034871,480.6629943847656
V0377,638979.9091909033,3331960.371034871,527.9595947265625
V0378,621069.9091909033,3331930.371034871,669.7687377929688
V0379,581409.9091909033,3330580.371034871,334.8042297363281
V0380,583839.9091909033,3330580.371034871,628.1806640625
V0381,653589.9091909033,3330580.371034871,278.6030578613281
V0382,611199.9091909033,3330550.371034871,1392.3492431640625
V0383,638919.9091909033,3330550.371034871,771.6451416015625
V0384,650829.9091909033,3330430.371034871,294.88641357421875
V0385,656439.9091909033,3330430.371034871,570.693603515625
V0386,646359.9091909033,3330400.371034871,617.6107177734375
V0387,659139.9091909033,3330400.371034871,427.1996765136719
V0388,550749.9091909033,3330370.371034871,585.17626953125
V0389,555759.9091909033,3330370.371034871,251.1893310546875
V0390,570759.9091909033,3330370.371034871,406.6187744140625
V0391,608259.9091909033,3330370.371034871,1433.5438232421875
V0392,636729.9091909033,3330370.371034871,735.7349243164062
V0393,660849.9091909033,3330370.371034871,468.52734375
V0394,648219.9091909033,3330310.371034871,529.733154296875
V0395,631809.9091909033,3330190.371034871,1066.4166259765625
V0396,585669.9091909033,3330130.371034871,403.562255859375
V0397,573279.9091909033,3330070.371034871,610.4058837890625
V0398,548139.9091909033,3330010.371034871,597.2987060546875
V0399,633129.9091909033,3330010.371034871,1180.362548828125
V0400,676809.9091909033,3329980.371034871,750.2003784179688
V0401,554259.9091909033,3329950.371034871,641.3375854492188
V0402,576729.9091909033,3329950.371034871,483.3207702636719
V0403,640659.9091909033,3329920.371034871,663.0921630859375
V0404,566799.9091909033,3329890.371034871,553.81494140625
V0405,673389.9091909033,3329890.371034871,1278.9993896484375
V0406,563229.9091909033,3329830.371034871,537.8123168945312
V0407,613179.9091909033,3329830.371034871,789.3142700195312
V0408,578199.9091909033,3329770.371034871,518.5488891601562
V0409,619209.9091909033,3329740.371034871,1033.7484130859375
V0410,558459.9091909033,3329710.371034871,518.6915893554688
V0411,626169.9091909033,3329710.371034871,1392.1519775390625
V0412,669249.9091909033,3329710.371034871,939.0543823242188
V0413,545859.9091909033,3329680.371034871,476.6966247558594
V0414,616359.9091909033,3329650.371034871,636.0782470703125
V0415,598299.9091909033,3329620.371034871,973.9931030273438
V0416,543879.9091909033,3329590.371034871,685.4302368164062
V0417,595809.9091909033,3329590.371034871,838.8973388671875
V0418,643599.9091909033,3329590.371034871,513.7907104492188
V0419,664149.9091909033,3329590.371034871,525.7626342773438
V0420,594129.9091909033,3329560.371034871,933.588623046875
V0421,628359.9091909033,3329560.371034871,1137.6463623046875
V0422,589089.9091909033,3329530.371034871,432.1628723144531
V0423,603549.9091909033,3329500.371034871,1137.0447998046875
V0424,666549.9091909033,3329500.371034871,283.3230895996094
V0425,561009.9091909033,3329470.371034871,354.7828674316406
V0426,591009.9091909033,3329470.371034871,902.451416015625
V0427,606489.9091909033,3329470.371034871,1179.0260009765625
V0428,621009.9091909033,3329470.371034871,1091.2735595703125
V0429,623529.9091909033,3329470.371034871,952.1468505859375
V0430,671469.9091909033,3329470.371034871,1186.7392578125
V0431,601059.9091909033,3329440.371034871,1230.824951171875
V0432,568749.9091909033,3329410.371034871,519.5093994140625
V0433,646239.9091909033,3328120.371034871,260.56878662109375
V0434,651249.9091909033,3328120.371034871,196.3080291748047
V0435,621069.9091909033,3328090.371034871,1012.3909912109375
V0436,633579.9091909033,3328090.371034871,1006.16162109375
V0437,641139.9091909033,3328090.371034871,540.1433715820312
V0438,606369.9091909033,3328060.371034871,939.34716796875
V0439,594039.9091909033,3328030.371034871,821.0991821289062
V0440,625959.9091909033,3328030.371034871,986.279541015625
V0441,561609.9091909033,3328000.371034871,556.2205810546875
V0442,596589.9091909033,3328000.371034871,1201.1334228515625
V0443,649089.9091909033,3328000.371034871,235.177001953125
V0444,673599.9091909033,3328000.371034871,1041.6968994140625
V0445,589149.9091909033,3327940.371034871,803.767822265625
V0446,656049.9091909033,3327940.371034871,506.5649719238281
V0447,569199.9091909033,3327910.371034871,494.3261413574219
V0448,670779.9091909033,3327910.371034871,1167.9234619140625
V0449,611709.9091909033,3327880.371034871,883.4313354492188
V0450,609189.9091909033,3327820.371034871,1301.9893798828125
V0451,599229.9091909033,3327790.371034871,1146.1575927734375
V0452,590709.9091909033,3327760.371034871,1002.2274780273438
V0453,669279.9091909033,3327760.371034871,825.4795532226562
V0454,555849.9091909033,3327730.371034871,242.28126525878906
V0455,658599.9091909033,3327730.371034871,489.4283142089844
V0456,643179.9091909033,3327700.371034871,626.1595458984375
V0457,616779.9091909033,3327670.371034871,745.6763305664062
V0458,619299.9091909033,3327670.371034871,1169.3634033203125
V0459,603939.9091909033,3327640.371034871,1423.7266845703125
V0460,631809.9091909033,3327640.371034871,962.1823120117188
V0461,665679.9091909033,3327640.371034871,744.1826171875
V0462,566529.9091909033,3327580.371034871,524.6713256835938
V0463,571809.9091909033,3327580.371034871,533.0037841796875
V0464,624339.9091909033,3327520.371034871,1340.5936279296875
V0465,628779.9091909033,3327460.371034871,1012.3109741210938
V0466,563169.9091909033,3327400.371034871,488.4662780761719
V0467,585669.9091909033,3327400.371034871,741.1781616210938
V0468,549189.9091909033,3327370.371034871,669.2883911132812
V0469,600669.9091909033,3327370.371034871,1017.3574829101562
V0470,676539.9091909033,3327370.371034871,596.9743041992188
V0471,578199.9091909033,3327310.371034871,480.630859375
V0472,639279.9091909033,3327310.371034871,646.49658203125
V0473,654189.9091909033,3327220.371034871,375.96099853515625
V0474,573669.9091909033,3327190.371034871,454.01055908203125
V0475,580779.9091909033,3327160.371034871,476.39508056640625
V0476,576699.9091909033,3327130.371034871,317.3372802734375
V0477,554079.9091909033,3327040.371034871,514.9254760742188
V0478,558369.9091909033,3327040.371034871,358.9374084472656
V0479,635889.9091909033,3327040.371034871,618.8952026367188
V0480,545949.9091909033,3327010.371034871,856.8846435546875
V0481,583959.9091909033,3326980.371034871,579.8696899414062
V0482,613989.9091909033,3326980.371034871,740.2364501953125
V0483,663609.9091909033,3326980.371034871,1044.0421142578125
V0484,543879.9091909033,3326950.371034871,952.220458984375
V0485,551409.9091909033,3326950.371034871,896.3391723632812
V0486,661179.9091909033,3326950.371034871,430.3215637207031
V0487,558549.9091909033,3325570.371034871,177.26124572753906
V0488,586419.9091909033,3325570.371034871,752.4087524414062
V0489,616389.9091909033,3325570.371034871,822.04638671875
V0490,643569.9091909033,3325570.371034871,326.8023376464844
V0491,663639.9091909033,3325570.371034871,598.6705932617188
V0492,655989.9091909033,3325540.371034871,308.5582580566406
V0493,604089.9091909033,3325480.371034871,1293.365966796875
V0494,595839.9091909033,3325450.371034871,1040.0347900390625
V0495,654129.9091909033,3325450.371034871,309.9351806640625
V0496,553269.9091909033,3325360.371034871,780.9541625976562
V0497,621639.9091909033,3325210.371034871,808.8950805664062
V0498,635889.9091909033,3325210.371034871,487.4282531738281
V0499,608979.9091909033,3325180.371034871,988.4094848632812
V0500,613179.9091909033,3325180.371034871,683.6411743164062
