site,x,y,z
V0300,595029.9091909033,3334900.371034871,572.501953125
V0301,615309.9091909033,3334870.371034871,1426.023681640625
V0302,625479.9091909033,3334870.371034871,491.0608215332031
V0303,673059.9091909033,3334840.371034871,1033.46484375
V0304,547929.9091909033,3334810.371034871,320.0497131347656
V0305,582849.9091909033,3334810.371034871,529.6823120117188
V0306,657999.9091909033,3334810.371034871,410.6426086425781
V0307,544479.9091909033,3334780.371034871,326.3033142089844
V0308,573039.9091909033,3334780.371034871,469.7273254394531
V0309,592899.9091909033,3334750.371034871,525.6552124023438
V0310,584469.9091909033,3334720.371034871,427.4949035644531
V0311,554529.9091909033,3334690.371034871,397.29620361328125
V0312,665319.9091909033,3334690.371034871,424.07794189453125
V0313,560469.9091909033,3334660.371034871,290.43829345703125
V0314,605469.9091909033,3334660.371034871,646.354248046875
V0315,659499.9091909033,3334660.371034871,654.17529296875
V0316,612189.9091909033,3334630.371034871,1800.0177001953125
V0317,587499.9091909033,3334600.371034871,437.51678466796875
V0318,600279.9091909033,3334510.371034871,511.2644958496094
V0319,670269.9091909033,3334510.371034871,1154.0025634765625
V0320,550119.9091909033,3334450.371034871,429.70208740234375
V0321,552669.9091909033,3334450.371034871,287.3826904296875
V0322,565059.9091909033,3334450.371034871,510.3012390136719
V0323,602619.9091909033,3334450.371034871,472.67779541015625
V0324,622659.9091909033,3334450.371034871,433.7318420410156
V0325,605079.9091909033,3333070.371034871,716.8582763671875
V0326,629949.9091909033,3333070.371034871,1132.1575927734375
V0327,645039.9091909033,3333070.371034871,417.2828063964844
V0328,659949.9091909033,3333070.371034871,774.4414672851562
V0329,617319.9091909033,3333040.371034871,619.9015502929688
V0330,552429.9091909033,3332980.371034871,602.4229736328125
V0331,589779.9091909033,3332980.371034871,468.14691162109375
V0332,565329.9091909033,3332920.371034871,625.67578125
V0333,664509.9091909033,3332860.371034871,384.444091796875
V0334,572169.9091909033,3332830.371034871,579.5396118164062
V0335,632979.9091909033,3332830.371034871,1218.3173828125
V0336,612999.9091909033,3332800.371034871,1710.5244140625
V0337,654579.9091909033,3332800.371034871,595.7582397460938
V0338,555009.9091909033,3332740.371034871,567.8606567382812
V0339,578019.9091909033,3332740.371034871,518.0125732421875
V0340,584409.9091909033,3332680.371034871,571.634521484375
V0341,650229.9091909033,3332680.371034871,628.9669189453125
V0342,662319.9091909033,3332680.371034871,465.3737487792969
V0343,669429.9091909033,3332650.371034871,1259.2652587890625
V0344,602649.9091909033,3332620.371034871,661.192626953125
V0345,619479.9091909033,3332620.371034871,563.3482666015625
V0346,570009.9091909033,3332590.371034871,635.5618286132812
V0347,596949.9091909033,3332590.371034871,702.1767578125
V0348,599949.9091909033,3332530.371034871,842.5252075195312
