site,x,y,z
V0206,606399.9091909033,3340900.371034871,952.6704711914062
V0207,656709.9091909033,3340900.371034871,809.925048828125
V0208,563829.9091909033,3340870.371034871,746.1069946289062
V0209,633759.9091909033,3340840.371034871,341.0771179199219
V0210,573399.9091909033,3340780.371034871,555.4024047851562
V0211,543969.9091909033,3340750.371034871,456.44134521484375
V0212,648849.9091909033,3340750.371034871,479.63348388671875
V0213,580989.9091909033,3340720.371034871,511.98797607421875
V0214,618909.9091909033,3340690.371034871,422.6936950683594
V0215,616239.9091909033,3340660.371034871,774.3286743164062
V0216,653739.9091909033,3340660.371034871,500.18780517578125
V0217,563799.9091909033,3339340.371034871,493.6197814941406
V0218,668499.9091909033,3339310.371034871,795.27294921875
V0219,640929.9091909033,3339280.371034871,413.1694641113281
V0220,565869.9091909033,3339250.371034871,514.840576171875
V0221,653559.9091909033,3339250.371034871,685.6561279296875
V0222,598389.9091909033,3339220.371034871,646.6499633789062
V0223,658359.9091909033,3339220.371034871,370.6946716308594
V0224,595809.9091909033,3339190.371034871,675.8280029296875
V0225,579219.9091909033,3339130.371034871,470.6704406738281
V0226,631659.9091909033,3339130.371034871,404.0309143066406
V0227,624279.9091909033,3339010.371034871,549.7052612304688
V0228,674289.9091909033,3339010.371034871,1147.6209716796875
V0229,590709.9091909033,3338980.371034871,403.64776611328125
V0230,551529.9091909033,3338890.371034871,558.5147705078125
V0231,556749.9091909033,3338860.371034871,385.7193908691406
V0232,573249.9091909033,3338860.371034871,603.7498168945312
V0233,626799.9091909033,3338860.371034871,664.0086059570312
V0234,635979.9091909033,3338860.371034871,1007.4353637695312
V0235,648309.9091909033,3338860.371034871,534.8865966796875
V0236,559239.9091909033,3338830.371034871,549.6094970703125
V0237,581559.9091909033,3338800.371034871,453.7598876953125
V0238,545649.9091909033,3338770.371034871,668.96875
V0239,619149.9091909033,3338770.371034871,747.2055053710938
V0240,638259.9091909033,3338740.371034871,816.77978515625
V0241,664149.9091909033,3338740.371034871,557.656494140625
V0242,666729.9091909033,3338740.371034871,635.0904541015625
V0243,570669.9091909033,3338710.371034871,644.5740356445312
V0244,575979.9091909033,3338680.371034871,400.53082275390625
V0245,585909.9091909033,3338680.371034871,425.1161193847656
V0246,643689.9091909033,3338680.371034871,322.3311462402344
V0247,620859.9091909033,3338650.371034871,442.5654602050781
V0248,671799.9091909033,3338650.371034871,1027.3031005859375
V0249,560859.9091909033,3338620.371034871,678.9539794921875
V0250,646809.9091909033,3338620.371034871,393.8296203613281
V0251,628269.9091909033,3338500.371034871,575.3606567382812
V0252,661539.9091909033,3338500.371034871,425.5362854003906
V0253,588579.9091909033,3338470.371034871,322.94818115234375
V0254,610719.9091909033,3338470.371034871,942.0048828125
V0255,634239.9091909033,3338470.371034871,591.2782592773438
V0256,650739.9091909033,3338470.371034871,675.9597778320312
V0257,614139.9091909033,3338410.371034871,1344.272216796875
V0258,583569.9091909033,3338380.371034871,412.4555358886719
V0259,553359.9091909033,3338320.371034871,500.13531494140625
V0260,543459.9091909033,3338290.371034871,866.6966552734375
V0261,606579.9091909033,3338290.371034871,549.1476440429688
V0262,656079.9091909033,3338260.371034871,676.6213989257812
V0263,675939.9091909033,3338260.371034871,1069.78515625
V0264,548739.9091909033,3338230.371034871,562.0282592773438
V0265,568509.9091909033,3338230.371034871,604.6232299804688
V0266,593589.9091909033,3338230.371034871,461.642578125
V0267,616299.9091909033,3338200.371034871,1288.825439453125
V0268,601239.9091909033,3338170.371034871,493.5547790527344
V0269,603729.9091909033,3338170.371034871,301.6900939941406
V0270,608739.9091909033,3338170.371034871,1082.3258056640625
V0271,543549.9091909033,3336820.371034871,421.8260192871094
V0272,583809.9091909033,3336820.371034871,487.13922119140625
V0273,606429.9091909033,3336820.371034871,579.477783203125
V0274,561489.9091909033,3336790.371034871,301.4928283691406
V0275,651009.9091909033,3336790.371034871,1109.941162109375
V0276,673509.9091909033,3336790.371034871,1147.6588134765625
V0277,588939.9091909033,3336760.371034871,434.12774658203125
V0278,665949.9091909033,3336760.371034871,465.9397277832031
V0279,554079.9091909033,3336730.371034871,649.5657348632812
V0280,601149.9091909033,3336730.371034871,455.6006774902344
