site,x,y,z
V0235,627009.9091909033,3338890.371034871,690.925048828125
V0236,667239.9091909033,3338890.371034871,654.9175415039062
V0237,642099.9091909033,3338860.371034871,335.3419494628906
V0238,672009.9091909033,3338860.371034871,1117.957275390625
V0239,544419.9091909033,3338770.371034871,810.7223510742188
V0240,648099.9091909033,3338770.371034871,436.67724609375
V0241,570549.9091909033,3338710.371034871,638.6377563476562
V0242,612549.9091909033,3338650.371034871,1032.18994140625
V0243,549429.9091909033,3338620.371034871,273.0850830078125
V0244,639819.9091909033,3338470.371034871,845.6918334960938
V0245,670509.9091909033,3338470.371034871,588.8563232421875
V0246,547479.9091909033,3338440.371034871,504.9527282714844
V0247,552279.9091909033,3338440.371034871,621.1707763671875
V0248,599529.9091909033,3338440.371034871,524.88525390625
V0249,560379.9091909033,3338410.371034871,708.8756713867188
V0250,662019.9091909033,3338410.371034871,416.8188171386719
V0251,664539.9091909033,3338380.371034871,572.6317138671875
V0252,542889.9091909033,3338320.371034871,916.511474609375
V0253,629859.9091909033,3338320.371034871,569.376953125
V0254,554649.9091909033,3338290.371034871,357.8997497558594
V0255,615339.9091909033,3338290.371034871,1264.66943359375
V0256,622839.9091909033,3338290.371034871,443.3689880371094
V0257,632859.9091909033,3338290.371034871,683.6607666015625
V0258,650349.9091909033,3338290.371034871,729.0416259765625
V0259,602769.9091909033,3338260.371034871,433.8294982910156
V0260,567729.9091909033,3338230.371034871,610.5204467773438
V0261,584829.9091909033,3338230.371034871,388.5838317871094
V0262,609969.9091909033,3338230.371034871,1240.9456787109375
V0263,635229.9091909033,3338230.371034871,880.3629150390625
V0264,577659.9091909033,3338200.371034871,500.747802734375
V0265,587409.9091909033,3338200.371034871,425.97528076171875
V0266,592449.9091909033,3338200.371034871,548.7654418945312
V0267,607509.9091909033,3338200.371034871,828.0843505859375
V0268,625179.9091909033,3338200.371034871,710.298828125
V0269,655149.9091909033,3338200.371034871,781.669189453125
V0270,652479.9091909033,3338170.371034871,761.9607543945312
V0271,667479.9091909033,3336850.371034871,308.09539794921875
V0272,559839.9091909033,3336820.371034871,556.459228515625
V0273,562719.9091909033,3336790.371034871,402.10247802734375
V0274,547359.9091909033,3336730.371034871,222.71099853515625
V0275,552849.9091909033,3336730.371034871,401.1104736328125
V0276,575019.9091909033,3336730.371034871,609.1178588867188
V0277,592119.9091909033,3336730.371034871,590.7725219726562
V0278,639609.9091909033,3336700.371034871,323.7802734375
V0279,554559.9091909033,3336670.371034871,637.1554565429688
V0280,542019.9091909033,3336610.371034871,619.0328979492188
V0281,590409.9091909033,3336610.371034871,519.4732055664062
V0282,630459.9091909033,3336610.371034871,745.9614868164062
V0283,544959.9091909033,3336490.371034871,469.7025146484375
V0284,578019.9091909033,3336490.371034871,553.4227905273438
V0285,565539.9091909033,3336460.371034871,528.2832641601562
V0286,619419.9091909033,3336430.371034871,633.0833129882812
V0287,654429.9091909033,3336430.371034871,776.562744140625
V0288,660459.9091909033,3336430.371034871,500.68359375
V0289,671949.9091909033,3336430.371034871,1175.1856689453125
V0290,670449.9091909033,3336400.371034871,1039.01416015625
V0291,571989.9091909033,3336370.371034871,587.5018310546875
V0292,549429.9091909033,3336310.371034871,230.0625457763672
V0293,604749.9091909033,3336310.371034871,627.0177001953125
V0294,664449.9091909033,3336310.371034871,469.5741882324219
V0295,623079.9091909033,3336250.371034871,512.981201171875
V0296,582129.9091909033,3336190.371034871,476.27142333984375
V0297,609519.9091909033,3336190.371034871,1566.8798828125
V0298,580569.9091909033,3336160.371034871,427.5256652832031
V0299,651909.9091909033,3336160.371034871,895.6140747070312
V0300,615399.9091909033,3336100.371034871,1584.4676513671875
V0301,663069.9091909033,3336100.371034871,461.8747863769531
V0302,570069.9091909033,3336070.371034871,657.1765747070312
V0303,635349.9091909033,3336070.371034871,1165.1304931640625
V0304,648069.9091909033,3336070.371034871,736.9359741210938
V0305,675519.9091909033,3336040.371034871,1070.8643798828125
V0306,599529.9091909033,3336010.371034871,469.82611083984375
V0307,608019.9091909033,3336010.371034871,1155.8861083984375
V0308,625059.9091909033,3335980.371034871,359.3424072265625
V0309,587349.9091909033,3335920.371034871,504.7303771972656
V0310,602979.9091909033,3335920.371034871,398.3561096191406
V0311,627669.9091909033,3335920.371034871,610.2476196289062
V0312,649809.9091909033,3335920.371034871,1081.7821044921875
V0313,595389.9091909033,3335890.371034871,438.0455322265625
V0314,597309.9091909033,3335890.371034871,598.4630126953125
V0315,617019.9091909033,3335890.371034871,1123.760498046875
V0316,557889.9091909033,3335800.371034871,524.3887939453125
V0317,632829.9091909033,3335800.371034871,696.089111328125
V0318,612129.9091909033,3335770.371034871,1616.9383544921875
V0319,567549.9091909033,3335680.371034871,722.663818359375
V0320,585039.9091909033,3335680.371034871,411.1667785644531
V0321,637299.9091909033,3335680.371034871,732.584716796875
V0322,642639.9091909033,3335680.371034871,529.8538208007812
V0323,645069.9091909033,3335680.371034871,519.4442138671875
V0324,657609.9091909033,3335680.371034871,284.55108642578125
V0325,637299.9091909033,3334330.371034871,421.1138610839844
V0326,615219.9091909033,3334300.371034871,1155.1875
V0327,612129.9091909033,3334240.371034871,1817.8265380859375
V0328,647859.9091909033,3334240.371034871,668.94580078125
V0329,665109.9091909033,3334240.371034871,429.4371337890625
V0330,645399.9091909033,3334180.371034871,527.3052368164062
V0331,670419.9091909033,3334180.371034871,1305.7960205078125
V0332,672669.9091909033,3334180.371034871,1094.61279296875
V0333,649539.9091909033,3334150.371034871,814.176025390625
V0334,567009.9091909033,3334090.371034871,570.1250610351562
V0335,616989.9091909033,3334060.371034871,868.2000122070312
V0336,675369.9091909033,3334060.371034871,980.8944091796875
V0337,565449.9091909033,3334030.371034871,708.99658203125
V0338,594969.9091909033,3334000.371034871,544.4551391601562
V0339,602979.9091909033,3334000.371034871,629.537841796875
V0340,654459.9091909033,3334000.371034871,560.4962158203125
V0341,600099.9091909033,3333940.371034871,588.361572265625
V0342,651909.9091909033,3333940.371034871,652.5047607421875
V0343,657909.9091909033,3333880.371034871,375.50390625
V0344,659979.9091909033,3333850.371034871,895.8104248046875
V0345,558069.9091909033,3333820.371034871,411.1688232421875
V0346,607959.9091909033,3333790.371034871,980.2466430664062
V0347,582369.9091909033,3333760.371034871,659.6401977539062
V0348,619389.9091909033,3333760.371034871,555.1426391601562
V0349,634389.9091909033,3333760.371034871,722.8772583007812
V0350,577839.9091909033,3333670.371034871,597.9270629882812
V0351,586929.9091909033,3333670.371034871,455.03033447265625
V0352,580569.9091909033,3333580.371034871,402.6455993652344
V0353,584979.9091909033,3333580.371034871,539.7489624023438
V0354,610569.9091909033,3333580.371034871,1496.7257080078125
V0355,661929.9091909033,3333580.371034871,523.7180786132812
V0356,642219.9091909033,3333490.371034871,597.5538940429688
V0357,547209.9091909033,3333430.371034871,462.3886413574219
V0358,561999.9091909033,3333400.371034871,323.2944641113281
V0359,574509.9091909033,3333400.371034871,398.9694519042969
V0360,622539.9091909033,3333400.371034871,680.5692138671875
V0361,632979.9091909033,3333400.371034871,1118.439453125
V0362,592719.9091909033,3333340.371034871,414.23785400390625
V0363,597219.9091909033,3333340.371034871,521.6974487304688
V0364,667839.9091909033,3333340.371034871,466.4566345214844
V0365,570369.9091909033,3333310.371034871,533.943603515625
V0366,605319.9091909033,3333310.371034871,850.940673828125
V0367,640299.9091909033,3333280.371034871,472.48065185546875
V0368,545109.9091909033,3333220.371034871,276.1755676269531
V0369,559839.9091909033,3333220.371034871,274.2284240722656
V0370,627699.9091909033,3333220.371034871,769.1471557617188
V0371,630069.9091909033,3333220.371034871,1130.5260009765625
V0372,542589.9091909033,3333190.371034871,306.6269226074219
V0373,550179.9091909033,3333190.371034871,535.711181640625
V0374,552369.9091909033,3333190.371034871,493.840576171875
V0375,555159.9091909033,3333190.371034871,445.3797302246094
V0376,572409.9091909033,3333190.371034871,516.5386352539062
V0377,589959.9091909033,3333190.371034871,433.1323547363281
V0378,624819.9091909033,3333190.371034871,533.287841796875
V0379,612489.9091909033,3331870.371034871,1136.09521484375
V0380,669999.9091909033,3331870.371034871,870.0538330078125
V0381,609969.9091909033,3331840.371034871,1522.10888671875
V0382,617199.9091909033,3331780.371034871,419.93035888671875
V0383,649899.9091909033,3331780.371034871,540.0945434570312
V0384,577839.9091909033,3331750.371034871,347.204345703125
V0385,660189.9091909033,3331720.371034871,654.962646484375
V0386,567909.9091909033,3331690.371034871,508.4513244628906
V0387,652569.9091909033,3331690.371034871,599.4447021484375
V0388,589599.9091909033,3331630.371034871,507.06243896484375
V0389,629499.9091909033,3331630.371034871,982.9208374023438
V0390,569499.9091909033,3331600.371034871,478.7621154785156
V0391,614439.9091909033,3331510.371034871,1072.260498046875
V0392,559509.9091909033,3331480.371034871,316.4251708984375
V0393,563019.9091909033,3331480.371034871,437.2900390625
V0394,647829.9091909033,3331480.371034871,763.9926147460938
V0395,554409.9091909033,3331420.371034871,573.3246459960938
V0396,603069.9091909033,3331420.371034871,829.4351806640625
V0397,552969.9091909033,3331390.371034871,533.5872802734375
V0398,542079.9091909033,3331360.371034871,580.9774780273438
V0399,564849.9091909033,3331360.371034871,518.3915405273438
V0400,583059.9091909033,3331360.371034871,592.5482788085938
V0401,579459.9091909033,3331330.371034871,394.499755859375
V0402,634419.9091909033,3331300.371034871,1134.118408203125
V0403,548079.9091909033,3331270.371034871,534.9468383789062
V0404,642789.9091909033,3331240.371034871,673.2555541992188
V0405,655209.9091909033,3331240.371034871,297.080078125
V0406,608049.9091909033,3331210.371034871,1370.721435546875
V0407,674529.9091909033,3331180.371034871,1310.6937255859375
V0408,584409.9091909033,3331090.371034871,567.904052734375
V0409,656919.9091909033,3331090.371034871,497.6813659667969
V0410,661929.9091909033,3331090.371034871,405.5086669921875
V0411,667839.9091909033,3331090.371034871,612.11474609375
V0412,592839.9091909033,3331060.371034871,636.768798828125
V0413,600489.9091909033,3331000.371034871,916.3595581054688
V0414,604479.9091909033,3331000.371034871,769.1978759765625
V0415,627879.9091909033,3331000.371034871,1127.6246337890625
V0416,575199.9091909033,3330940.371034871,469.7916564941406
V0417,550479.9091909033,3330910.371034871,586.784912109375
V0418,557979.9091909033,3330910.371034871,418.5049133300781
V0419,545079.9091909033,3330880.371034871,686.6433715820312
V0420,637029.9091909033,3330880.371034871,817.5637817382812
V0421,639549.9091909033,3330880.371034871,642.2380981445312
V0422,672789.9091909033,3330820.371034871,1115.2088623046875
V0423,664899.9091909033,3330790.371034871,242.275390625
V0424,622509.9091909033,3330760.371034871,863.2303466796875
V0425,632799.9091909033,3330760.371034871,1343.967041015625
V0426,645279.9091909033,3330760.371034871,538.29541015625
V0427,572709.9091909033,3330730.371034871,494.1898498535156
V0428,619749.9091909033,3330730.371034871,834.939208984375
V0429,587649.9091909033,3330700.371034871,442.98101806640625
V0430,594879.9091909033,3330700.371034871,941.5416870117188
V0431,625119.9091909033,3330700.371034871,1217.3616943359375
V0432,597489.9091909033,3330670.371034871,899.5560302734375
V0433,594999.9091909033,3329350.371034871,945.926513671875
V0434,639999.9091909033,3329350.371034871,647.1366577148438
V0435,629799.9091909033,3329320.371034871,781.1953735351562
V0436,672699.9091909033,3329290.371034871,1205.5897216796875
V0437,542499.9091909033,3329260.371034871,710.7125244140625
V0438,637509.9091909033,3329260.371034871,681.6961669921875
V0439,652299.9091909033,3329260.371034871,211.2118377685547
