metric,target,rho,p,p_ess,p_perm,n,n_eff,ci_lo,ci_hi,p_boot,q,q_perm,q_ess,survive,survive_perm,survive_ess,survive_dual
edge_den_m_ha,lst_abs,0.385,0.043167377228116206,0.07636997833606886,0.0495,28,22.1,-0.009,0.747,0.056,0.17266950891246483,0.198,0.28592345235987815,False,False,False,False
edge_den_m_ha,dlst_v3m,0.294,0.12826174265435325,0.13525937524794363,0.137,28,27.1,-0.083,0.668,0.116,0.34264246595612075,0.36949999999999994,0.40577812574383093,False,False,False,False
edge_den_m_ha,cov85_4p,0.225,0.25019433815370185,0.29538349802090125,0.2564,28,23.6,-0.227,0.605,0.3408,0.5176434582490382,0.5304827586206897,0.5795166908394648,False,False,False,False
edge_den_m_ha,rsrp_p10_4p,0.201,0.30506384315653606,0.34173721114048766,0.318,28,24.4,-0.181,0.495,0.3214,0.5285106694972774,0.5509999999999999,0.6030656667185077,False,False,False,False
patch_den,lst_abs,0.121,0.5388693344122616,0.5622380519362971,0.5407,28,25.2,-0.184,0.464,0.5048,0.7343096689261909,0.7385333333333333,0.7819925705552587,False,False,False,False
patch_den,dlst_v3m,0.026,0.8973042704296077,0.8973042704296086,0.8984,28,28.0,-0.384,0.45,0.8556,0.9613974326031511,0.9625714285714285,0.9659793622301004,False,False,False,False
patch_den,cov85_4p,0.173,0.3778639162604351,0.3881153537429248,0.3934,28,26.9,-0.21,0.418,0.3868,0.5760882317491729,0.60555,0.612813716436197,False,False,False,False
patch_den,rsrp_p10_4p,0.332,0.08474114783210172,0.08577703570796345,0.0892,28,27.8,-0.167,0.62,0.1687,0.26760362473295285,0.2886315789473684,0.28592345235987815,False,False,False,False
lps_pct,lst_abs,0.058,0.771279409812546,0.7892925705958733,0.7767,28,24.0,-0.338,0.497,0.7369,0.9094974914511895,0.9103333333333333,0.9113020150525544,False,False,False,False
lps_pct,dlst_v3m,0.233,0.23378979700213337,0.23378979700213312,0.2451,28,28.0,-0.189,0.656,0.3261,0.5009781364331429,0.5252142857142857,0.5300547960130172,False,False,False,False
lps_pct,cov85_4p,-0.362,0.058448702425780735,0.07097730039199746,0.0618,28,25.7,-0.589,-0.103,0.0107,0.2112813748852258,0.228,0.28390920156798977,False,False,False,False
lps_pct,rsrp_p10_4p,-0.334,0.08281324414922983,0.09185165229140503,0.0914,28,26.6,-0.643,0.101,0.112,0.26760362473295285,0.2886315789473684,0.29005784934127904,False,False,False,False
elev_m,lst_abs,-0.531,0.0030670019177590243,0.026081677496949535,0.0039,29,17.5,-0.848,0.015,0.0574,0.023002514383192684,0.029249999999999998,0.1564900649816972,True,True,False,False
elev_m,dlst_v3m,-0.126,0.5133066426982857,0.581554340101489,0.5209,29,21.3,-0.45,0.308,0.5842,0.7343096689261909,0.7385333333333333,0.7819925705552587,False,False,False,False
elev_m,cov85_4p,0.192,0.3171064016983665,0.4374917257986821,0.3306,29,18.5,-0.246,0.515,0.3855,0.5285106694972774,0.5509999999999999,0.6562375886980232,False,False,False,False
elev_m,rsrp_p10_4p,0.121,0.5312218874937471,0.6204565859768689,0.5479,29,19.1,-0.292,0.478,0.6716,0.7343096689261909,0.7385333333333333,0.8092911991002637,False,False,False,False
relief_m,lst_abs,-0.54,0.002506624649128115,0.009656667374315683,0.003,29,21.9,-0.724,-0.223,0.0033,0.021485354135383845,0.025714285714285714,0.08277143463699156,True,True,False,True
relief_m,dlst_v3m,0.01,0.9606198936451168,0.9622937931816629,0.9605,29,26.8,-0.329,0.293,0.8916,0.9794209325674625,0.9787118644067797,0.9816961405616811,False,False,False,False
relief_m,cov85_4p,-0.689,3.577216046234188e-05,0.00026015513632368284,0.0001,29,23.2,-0.855,-0.402,0.0007,0.0007154432092468377,0.002,0.005203102726473657,True,True,True,True
relief_m,rsrp_p10_4p,-0.665,8.196981964051694e-05,0.0003937837020753903,0.0003,29,24.0,-0.819,-0.389,0.0,0.001229547294607754,0.0036,0.005906755531130855,True,True,True,True
slope_deg,lst_abs,-0.283,0.13705698638244831,0.22136582247102196,0.1478,29,20.4,-0.633,0.185,0.1947,0.34264246595612075,0.36949999999999994,0.5300547960130172,False,False,False,False
slope_deg,dlst_v3m,0.206,0.28338210554453996,0.3233078627073264,0.2947,29,25.0,-0.136,0.437,0.2094,0.5285106694972774,0.5509999999999999,0.5971912127624858,False,False,False,False
