metric,target,rho,p,p_ess,p_perm,n,n_eff,ci_lo,ci_hi,p_boot,q,q_perm,q_ess,survive,survive_perm,survive_ess,survive_dual
patch_den,cov85_4p,-0.255,0.19047694684084998,0.19047694684084998,0.21428571428571427,28,28.0,-0.667,0.216,0.2828,0.3125775537901128,0.34285714285714286,0.3125775537901128,False,False,False,False
patch_den,rsrp_p10_4p,-0.1,0.6138707806221696,0.6138707806221696,0.5714285714285714,28,28.0,-0.588,0.385,0.7142,0.7015666064253366,0.6772486772486772,0.7015666064253366,False,False,False,False
lps_pct,lst_abs,0.476,0.010407971109772905,0.013637582859178578,0.03571428571428571,28,26.1,0.229,0.703,0.0013,0.02896131091415069,0.08465608465608465,0.03794805665162735,True,False,True,True
lps_pct,dlst_v3m,0.512,0.005329950952394476,0.005329950952394476,0.03571428571428571,28,28.0,0.176,0.804,0.0033,0.017953518997539285,0.08465608465608465,0.022741124063549764,True,False,True,True
lps_pct,cov85_4p,0.08,0.6865378352526931,0.692019165331258,0.6428571428571429,28,27.1,-0.355,0.443,0.7649,0.770849499231094,0.7480519480519481,0.7770039751087808,False,False,False,False
lps_pct,rsrp_p10_4p,-0.019,0.9228985325345921,0.9242066372353882,0.9642857142857143,28,27.1,-0.538,0.475,0.8963,0.9526694529389338,0.9808429118773947,0.954019754565562,False,False,False,False
elev_m,lst_abs,-0.618,0.00035142827238291124,0.006505936063389213,0.034482758620689655,29,17.8,-0.906,-0.089,0.028,0.00281142617906329,0.08465608465608465,0.023970402043754155,True,False,True,True
elev_m,dlst_v3m,-0.312,0.09901289485703688,0.15724586778866353,0.06896551724137931,29,22.0,-0.651,0.13,0.1647,0.18105215059572458,0.14285714285714285,0.27420201285931384,False,False,False,False
elev_m,cov85_4p,-0.004,0.9847549127195224,0.9881830427435784,1.0,29,18.4,-0.488,0.465,0.9176,0.9858343799912141,1.0,0.9889581625409247,False,False,False,False
elev_m,rsrp_p10_4p,0.003,0.9858343799912141,0.9889581625409247,0.9655172413793104,29,18.6,-0.477,0.501,0.9683,0.9858343799912141,0.9808429118773947,0.9889581625409247,False,False,False,False
relief_m,lst_abs,-0.593,0.0006954099694417059,0.0038542238391007268,0.034482758620689655,29,21.7,-0.826,-0.089,0.026,0.0037088531703557645,0.08465608465608465,0.018800137402827547,True,False,True,True
relief_m,dlst_v3m,-0.231,0.22725659596168518,0.24793333989153662,0.1724137931034483,29,26.8,-0.512,0.149,0.2194,0.3547420034523866,0.29038112522686027,0.38701789641605716,False,False,False,False
relief_m,cov85_4p,-0.768,1.1604468485261576e-06,2.4690648653853773e-05,0.034482758620689655,29,22.4,-0.913,-0.559,0.0,2.4756199435224698e-05,0.08465608465608465,0.0005353839527092105,True,False,True,True
relief_m,rsrp_p10_4p,-0.708,1.7492859534644212e-05,0.00018008659727635734,0.034482758620689655,29,22.6,-0.871,-0.383,0.0,0.0002798857525543074,0.08465608465608465,0.0028813855564217175,True,False,True,True
slope_deg,lst_abs,-0.519,0.00392276646849091,0.014832374107460475,0.034482758620689655,29,21.4,-0.789,-0.022,0.0427,0.013947614110189903,0.08465608465608465,0.0395529976198946,True,False,True,True
slope_deg,dlst_v3m,-0.183,0.3425088797982076,0.36779197896562427,0.41379310344827586,29,26.4,-0.505,0.193,0.2868,0.49819473425193833,0.5404644616467277,0.5235038608952504,False,False,False,False
slope_deg,cov85_4p,-0.821,4.9388822165738575e-08,2.7310741791026477e-06,0.034482758620689655,29,22.1,-0.939,-0.61,0.0,3.160884618607269e-06,0.08465608465608465,0.00017478874746256945,True,False,True,True
slope_deg,rsrp_p10_4p,-0.769,1.096275528723068e-06,2.5096122783244243e-05,0.034482758620689655,29,22.3,-0.894,-0.503,0.0,2.4756199435224698e-05,0.08465608465608465,0.0005353839527092105,True,False,True,True
southness,lst_abs,-0.29,0.12748015207683205,0.15852303868429082,0.10344827586206896,29,25.2,-0.626,0.05,0.0927,0.22050620899776355,0.1947261663286004,0.27420201285931384,False,False,False,False
southness,dlst_v3m,-0.171,0.37454853975139263,0.37454853975139263,0.3448275862068966,29,29.0,-0.558,0.178,0.3555,0.5171744546723694,0.5015673981191223,0.5235038608952504,False,False,False,False
southness,cov85_4p,-0.119,0.5377556721233189,0.5618519442482997,0.5172413793103449,29,26.0,-0.532,0.214,0.4928,0.6397331888012728,0.6366047745358091,0.6739647893171791,False,False,False,False
southness,rsrp_p10_4p,0.123,0.5235926518451367,0.5460702370354856,0.4827586206896552,29,26.2,-0.293,0.41,0.5709,0.6397331888012728,0.605814739688979,0.6720864455821361,False,False,False,False
ns_asym_m,lst_abs,-0.318,0.09302927713266355,0.11571953714057047,0.1724137931034483,29,25.7,-0.58,-0.061,0.02,0.1804204162572869,0.29038112522686027,0.21782501108813265,False,False,False,False
ns_asym_m,dlst_v3m,-0.123,0.5235926518451367,0.5235926518451367,0.4827586206896552,29,29.0,-0.458,0.229,0.4622,0.6397331888012728,0.605814739688979,0.6570574454527206,False,False,False,False
ns_asym_m,cov85_4p,-0.179,0.3531338437233228,0.37626840001846124,0.41379310344827586,29,26.6,-0.489,0.137,0.2314,0.5022347999620591,0.5404644616467277,0.5235038608952504,False,False,False,False
ns_asym_m,rsrp_p10_4p,0.053,0.7839871860864904,0.7928476638815559,0.6896551724137931,29,26.8,-0.241,0.347,0.7796,0.8504267781277184,0.7743496672716274,0.8600381438715183,False,False,False,False
tsvf,lst_abs,0.552,0.0019122924804605278,0.008599005478384386,0.034482758620689655,29,21.5,-0.012,0.84,0.0534,0.007649169921842111,0.08465608465608465,0.02823342331807117,True,False,True,False
tsvf,dlst_v3m,0.314,0.0975311900511266,0.11512149047531757,0.10344827586206896,29,26.5,-0.07,0.578,0.1094,0.18105215059572458,0.1947261663286004,0.21782501108813265,False,False,False,False
tsvf,cov85_4p,0.636,0.0002068763863634184,0.0013851954755049888,0.034482758620689655,29,22.2,0.329,0.836,0.0,0.001891441246751254,0.08465608465608465,0.01108156380403991,True,False,True,True
tsvf,rsrp_p10_4p,0.609,0.00045991698190486156,0.0024018314531853583,0.034482758620689655,29,22.4,0.309,0.811,0.0,0.002943468684191114,0.08465608465608465,0.013175857582565722,True,False,True,True
forest_ring_pct,lst_abs,-0.583,0.000896017277467856,0.004112530056868526,0.034482758620689655,29,22.3,-0.83,-0.203,0.0087,0.004411161981380214,0.08465608465608465,0.018800137402827547,True,False,True,True
forest_ring_pct,dlst_v3m,-0.167,0.3878808410042771,0.40234673662760057,0.41379310344827586,29,27.4,-0.536,0.216,0.3354,0.5171744546723694,0.5404644616467277,0.5478764073226902,False,False,False,False
forest_ring_pct,cov85_4p,-0.649,0.0001404131413926421,0.0008139923844946966,0.034482758620689655,29,23.0,-0.879,-0.32,0.0027,0.0014977401748548491,0.08465608465608465,0.008682585434610098,True,False,True,True
forest_ring_pct,rsrp_p10_4p,-0.598,0.0006175870633400263,0.002470473296731073,0.034482758620689655,29,23.2,-0.828,-0.228,0.0053,0.003593233823069244,0.08465608465608465,0.013175857582565722,True,False,True,True
water_mean_m,lst_abs,-0.425,0.021676234862623534,0.03453002846364038,0.034482758620689655,29,25.0,-0.669,-0.058,0.032,0.05549116124831625,0.08465608465608465,0.07892577934546373,False,False,False,False
water_mean_m,dlst_v3m,-0.255,0.18107708034800754,0.18107708034800754,0.13793103448275862,29,29.0,-0.607,0.128,0.1714,0.30497192479664426,0.2522167487684729,0.30497192479664426,False,False,False,False
water_mean_m,cov85_4p,-0.168,0.3843706539317863,0.4151296062591523,0.2413793103448276,29,25.8,-0.511,0.281,0.4428,0.5171744546723694,0.3767872161480236,0.5535061416788697,False,False,False,False
water_mean_m,rsrp_p10_4p,-0.144,0.45578395946587125,0.4824096420619812,0.3793103448275862,29,26.0,-0.465,0.276,0.4815,0.5834034681163152,0.539463601532567,0.617484341839336,False,False,False,False
water_min_m,lst_abs,-0.61,0.00044508015612464515,0.0013174824485130236,0.034482758620689655,29,24.7,-0.777,-0.374,0.0,0.002943468684191114,0.08465608465608465,0.01108156380403991,True,False,True,True
water_min_m,dlst_v3m,-0.492,0.0067416755748058565,0.0067416755748058565,0.034482758620689655,29,29.0,-0.768,-0.177,0.0013,0.02157336183937874,0.08465608465608465,0.023970402043754155,True,False,True,True
water_min_m,cov85_4p,-0.158,0.41445214314685913,0.44753930446858703,0.3103448275862069,29,25.5,-0.543,0.371,0.5689,0.541325248191816,0.4619085805934242,0.5845411323671341,False,False,False,False
water_min_m,rsrp_p10_4p,-0.043,0.8244634003074753,0.8355834111724613,0.7931034482758621,29,25.7,-0.45,0.464,0.9323,0.8794276269946404,0.8603156049094097,0.8912889719172921,False,False,False,False
