family,metric,target,rho,p,p_ess,q,q_ess,ci_lo,ci_hi,n,n_eff,survive_fdr,survive_fdr_ess
F2 partial (ctrl domain built-up),elev_m,cov85_4p,0.279,0.142204,0.273899,0.3214,0.5248,-0.112,0.613,29,17.2,False,False
F2 partial (ctrl domain built-up),elev_m,rsrp_p10_4p,0.214,0.26419,0.371793,0.4843,0.6059,-0.204,0.562,29,19.5,False,False
F2 partial (ctrl domain built-up),relief_m,lst_abs,-0.525,0.003441,0.011393,0.0193,0.0713,-0.741,-0.153,29,22.3,True,False
F2 partial (ctrl domain built-up),relief_m,dlst_v3m,-0.199,0.299735,0.311646,0.4921,0.5274,-0.503,0.168,29,27.7,False,False
F2 partial (ctrl domain built-up),relief_m,cov85_4p,-0.524,0.003517,0.014679,0.0193,0.0718,-0.75,-0.173,29,21.0,True,False
F2 partial (ctrl domain built-up),relief_m,rsrp_p10_4p,-0.502,0.005521,0.012969,0.027,0.0713,-0.75,-0.133,29,23.7,True,False
F2 partial (ctrl domain built-up),slope_deg,lst_abs,-0.029,0.880266,0.898985,0.9108,0.9137,-0.425,0.35,29,21.3,False,False
F2 partial (ctrl domain built-up),slope_deg,dlst_v3m,0.325,0.085154,0.101508,0.2498,0.2978,-0.021,0.541,29,26.5,False,False
F2 partial (ctrl domain built-up),slope_deg,cov85_4p,-0.804,0.0,1.8e-05,0.0,0.0004,-0.915,-0.445,29,20.1,True,True
F2 partial (ctrl domain built-up),slope_deg,rsrp_p10_4p,-0.746,3e-06,5e-05,0.0,0.0005,-0.891,-0.446,29,22.7,True,True
F2 partial (ctrl domain built-up),southness,lst_abs,-0.235,0.219677,0.255893,0.4394,0.5248,-0.538,0.16,29,25.2,False,False
F2 partial (ctrl domain built-up),southness,dlst_v3m,-0.131,0.498171,0.480054,0.6656,0.6822,-0.462,0.2,29,31.3,False,False
F2 partial (ctrl domain built-up),southness,cov85_4p,-0.063,0.745789,0.771657,0.8635,0.8935,-0.533,0.421,29,23.7,False,False
F2 partial (ctrl domain built-up),southness,rsrp_p10_4p,0.045,0.818332,0.825887,0.9108,0.9137,-0.449,0.507,29,26.8,False,False
F2 partial (ctrl domain built-up),ns_asym_m,lst_abs,-0.22,0.252191,0.28628,0.4825,0.5248,-0.546,0.156,29,25.5,False,False
F2 partial (ctrl domain built-up),ns_asym_m,dlst_v3m,-0.13,0.50127,0.480642,0.6656,0.6822,-0.53,0.291,29,31.6,False,False
F2 partial (ctrl domain built-up),ns_asym_m,cov85_4p,-0.09,0.64223,0.675655,0.7849,0.8258,-0.472,0.32,29,24.0,False,False
F2 partial (ctrl domain built-up),ns_asym_m,rsrp_p10_4p,0.134,0.489153,0.505167,0.6656,0.6931,-0.274,0.518,29,27.1,False,False
F2 partial (ctrl domain built-up),tsvf,lst_abs,0.416,0.024904,0.075321,0.0843,0.2549,-0.117,0.747,29,19.2,False,False
F2 partial (ctrl domain built-up),tsvf,dlst_v3m,-0.028,0.886976,0.898618,0.9108,0.9137,-0.373,0.376,29,23.8,False,False
F2 partial (ctrl domain built-up),tsvf,cov85_4p,0.595,0.000661,0.009093,0.0048,0.0667,0.237,0.848,29,18.0,True,False
F2 partial (ctrl domain built-up),tsvf,rsrp_p10_4p,0.595,0.000659,0.005144,0.0048,0.0453,0.302,0.791,29,20.4,True,True
F2 partial (ctrl domain built-up),forest_ring_pct,lst_abs,-0.172,0.389962,0.469558,0.6128,0.6822,-0.607,0.348,27,19.8,False,False
F2 partial (ctrl domain built-up),forest_ring_pct,dlst_v3m,0.255,0.198863,0.229191,0.4167,0.5042,-0.141,0.536,27,24.0,False,False
F2 partial (ctrl domain built-up),forest_ring_pct,cov85_4p,-0.787,1e-06,3e-05,0.0,0.0004,-0.876,-0.527,27,20.5,True,True
F2 partial (ctrl domain built-up),forest_ring_pct,rsrp_p10_4p,-0.781,2e-06,1.9e-05,0.0,0.0004,-0.886,-0.54,27,21.9,True,True
F2 partial (ctrl domain built-up),water_mean_m,lst_abs,-0.314,0.110553,0.135329,0.3017,0.3494,-0.623,0.09,27,24.0,False,False
F2 partial (ctrl domain built-up),water_mean_m,dlst_v3m,-0.206,0.30152,0.283152,0.4921,0.5248,-0.537,0.179,27,28.9,False,False
F2 partial (ctrl domain built-up),water_mean_m,cov85_4p,0.153,0.446148,0.468259,0.6656,0.6822,-0.134,0.489,27,24.7,False,False
F2 partial (ctrl domain built-up),water_mean_m,rsrp_p10_4p,0.097,0.630591,0.634545,0.7849,0.7977,-0.216,0.448,27,26.4,False,False
F2 partial (ctrl domain built-up),water_min_m,lst_abs,-0.355,0.069612,0.083326,0.2188,0.2619,-0.728,0.057,27,24.8,False,False
F2 partial (ctrl domain built-up),water_min_m,dlst_v3m,-0.292,0.140001,0.118103,0.3214,0.3248,-0.61,0.003,27,30.0,False,False
F2 partial (ctrl domain built-up),water_min_m,cov85_4p,0.036,0.857009,0.86114,0.9108,0.9137,-0.259,0.412,27,25.6,False,False
F2 partial (ctrl domain built-up),water_min_m,rsrp_p10_4p,0.022,0.914328,0.913663,0.9143,0.9137,-0.345,0.45,27,27.4,False,False
