metric,target,rho,p,p_ess,n,n_eff,ci_lo,ci_hi,p_boot,q,q_ess,survive,survive_ess
slope_deg,cov85_4p,-0.851,5.1555354992218455e-09,1.9345474327676062e-06,29,20.1,-0.935,-0.699,0.0,2.4746570396264856e-07,9.285827677284509e-05,True,True
slope_deg,rsrp_p10_4p,-0.771,1.0073927626849058e-06,1.9753185832743032e-05,29,22.7,-0.922,-0.51,0.0,1.6118284202958494e-05,0.0002909158896084855,True,True
southness,lst_abs,-0.13,0.5029684083346959,0.5352360487257579,29,25.2,-0.413,0.122,0.2954,0.7100730470607471,0.756684696708556,False,False
southness,dlst_v3m,-0.067,0.729838230863752,0.7188120077952893,29,31.3,-0.354,0.18,0.5162,0.8293372996163341,0.8641862143793467,False,False
southness,cov85_4p,-0.011,0.9532709419647047,0.9581654000298606,29,23.7,-0.439,0.429,0.8836,0.9735533024320389,0.9785518979028364,False,False
southness,rsrp_p10_4p,0.074,0.7013263164761715,0.7133843989196722,29,26.8,-0.386,0.485,0.8249,0.8293372996163341,0.8641862143793467,False,False
ns_asym_m,lst_abs,-0.243,0.20423942535767645,0.23709488631172537,29,25.5,-0.577,0.132,0.1747,0.3501247291845882,0.3924329152745799,False,False
ns_asym_m,dlst_v3m,-0.169,0.38079844550671726,0.3580218874202068,29,31.6,-0.563,0.203,0.3961,0.5896233994942719,0.5728350198723309,False,False
ns_asym_m,cov85_4p,-0.133,0.4919508759509492,0.5359849935018938,29,24.0,-0.506,0.218,0.4061,0.7100730470607471,0.756684696708556,False,False
ns_asym_m,rsrp_p10_4p,0.084,0.6657384362098482,0.6772515444589573,29,27.1,-0.283,0.458,0.6449,0.8293372996163341,0.8641862143793467,False,False
tsvf,lst_abs,0.652,0.00012556201936561446,0.0023541820063437404,29,19.2,0.194,0.875,0.0053,0.0007168819188353539,0.011300073630449953,True,True
tsvf,dlst_v3m,0.316,0.09506624454514849,0.13456230202792263,29,23.8,-0.089,0.621,0.124,0.17550691300642798,0.24842271143616484,False,False
tsvf,cov85_4p,0.706,1.89711324996196e-05,0.0010516126409739715,29,18.0,0.448,0.885,0.0,0.0001517690599969568,0.007369187847248462,True,True
tsvf,rsrp_p10_4p,0.65,0.00013441535978162887,0.001709391180827628,29,20.4,0.298,0.867,0.0013,0.0007168819188353539,0.009116752964414016,True,True
forest_ring_pct,lst_abs,-0.36,0.06544373960934477,0.12119094740994985,27,19.8,-0.701,0.121,0.1167,0.13088747921868954,0.2326866190271037,False,False
forest_ring_pct,dlst_v3m,-0.004,0.9831193835831027,0.984201369871645,27,24.0,-0.415,0.403,0.8763,0.9831193835831028,0.984201369871645,False,False
forest_ring_pct,cov85_4p,-0.815,2.2158247911925797e-07,9.151653155156079e-06,27,20.5,-0.883,-0.642,0.0,5.317979498862191e-06,0.00021963967572374588,True,True
forest_ring_pct,rsrp_p10_4p,-0.775,2.0884004082498345e-06,2.4242990800707127e-05,27,21.9,-0.876,-0.512,0.0007,2.5060804898998012e-05,0.0002909158896084855,True,True
water_mean_m,lst_abs,-0.496,0.008445438757384176,0.013703894542987191,27,24.0,-0.727,-0.141,0.012,0.027025404023629362,0.04385246253755901,True,True
water_mean_m,dlst_v3m,-0.398,0.03968820164880627,0.03261663025154835,27,28.9,-0.678,-0.018,0.04,0.09165137797296821,0.08239990800391163,False,False
water_mean_m,cov85_4p,-0.055,0.7842434948877923,0.7943533453468755,27,24.7,-0.369,0.348,0.8583,0.8555383580594099,0.8747312323917719,False,False
water_mean_m,rsrp_p10_4p,-0.023,0.9109283984538332,0.911953322022221,27,26.4,-0.327,0.335,0.9823,0.9505339809953043,0.9516034664579698,False,False
water_min_m,lst_abs,-0.544,0.0033387590221235657,0.005095317429223616,27,24.8,-0.801,-0.121,0.014,0.012327725620148552,0.018813479738671812,True,True
water_min_m,dlst_v3m,-0.48,0.011314606229682663,0.00731625077952833,27,30.0,-0.746,-0.196,0.0027,0.03194712347204516,0.025084288386954274,True,True
water_min_m,cov85_4p,-0.17,0.3964457250186073,0.4103746332797436,27,25.6,-0.465,0.207,0.3801,0.594668587527911,0.6155619499196154,False,False
water_min_m,rsrp_p10_4p,-0.098,0.626791322345217,0.6241066972721961,27,27.4,-0.361,0.193,0.5448,0.8293372996163341,0.8321422630295948,False,False
